YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2020,JAN,2020-01-01,Germany,95.0,95.0,Berlin - Brandenburg (EDDB)
2020,JAN,2020-01-01,Germany,13.0,,Dresden (EDDC)
2020,JAN,2020-01-01,Germany,423.0,355.0,Frankfurt (EDDF)
2020,JAN,2020-01-01,Germany,,5.0,Muenster-Osnabrueck (EDDG)
2020,JAN,2020-01-01,Germany,,,Hamburg (EDDH)
2020,JAN,2020-01-01,Germany,90.0,89.0,Cologne-Bonn (EDDK)
2020,JAN,2020-01-01,Germany,188.0,190.0,Dusseldorf (EDDL)
2020,JAN,2020-01-01,Germany,328.0,292.0,Munich (EDDM)
2020,JAN,2020-01-01,Germany,39.0,43.0,Nuremberg (EDDN)
2020,JAN,2020-01-01,Germany,29.0,38.0,Leipzig-Halle (EDDP)
2020,JAN,2020-01-01,Germany,3.0,4.0,Saarbruecken (EDDR)
2020,JAN,2020-01-01,Germany,87.0,90.0,Stuttgart (EDDS)
2020,JAN,2020-01-01,Germany,183.0,188.0,Berlin - Tegel (EDDT)
2020,JAN,2020-01-01,Germany,40.0,45.0,Hanover (EDDV)
2020,JAN,2020-01-01,Germany,20.0,21.0,Bremen (EDDW)
2020,JAN,2020-01-01,United Kingdom,52.0,51.0,Belfast - Aldergrove (EGAA)
2020,JAN,2020-01-01,United Kingdom,32.0,32.0,Belfast - City Airport (EGAC)
2020,JAN,2020-01-01,United Kingdom,2.0,2.0,Londonderry - Eglinton (EGAE)
2020,JAN,2020-01-01,United Kingdom,84.0,87.0,Birmingham (EGBB)
2020,JAN,2020-01-01,United Kingdom,173.0,171.0,Manchester (EGCC)
2020,JAN,2020-01-01,United Kingdom,70.0,70.0,Bristol (EGGD)
2020,JAN,2020-01-01,United Kingdom,164.0,169.0,London - Luton (EGGW)
2020,JAN,2020-01-01,United Kingdom,22.0,22.0,Southampton (EGHI)
2020,JAN,2020-01-01,United Kingdom,5.0,5.0,Biggin Hill (EGKB)
2020,JAN,2020-01-01,United Kingdom,325.0,322.0,London - Gatwick (EGKK)
2020,JAN,2020-01-01,United Kingdom,54.0,53.0,London - City (EGLC)
2020,JAN,2020-01-01,United Kingdom,14.0,15.0,Farnborough (EGLF)
2020,JAN,2020-01-01,United Kingdom,592.0,582.0,London - Heathrow (EGLL)
2020,JAN,2020-01-01,United Kingdom,32.0,,Newcastle (EGNT)
2020,JAN,2020-01-01,United Kingdom,18.0,21.0,East Midlands (EGNX)
2020,JAN,2020-01-01,United Kingdom,27.0,27.0,Aberdeen (EGPD)
2020,JAN,2020-01-01,United Kingdom,59.0,57.0,Glasgow (EGPF)
2020,JAN,2020-01-01,United Kingdom,115.0,111.0,Edinburgh (EGPH)
2020,JAN,2020-01-01,United Kingdom,196.0,203.0,London - Stansted (EGSS)
2020,JAN,2020-01-01,Greece,213.0,206.0,Athens (LGAV)
2020,JAN,2020-01-01,Greece,15.0,15.0,Heraklion (LGIR)
2020,JAN,2020-01-01,Greece,2.0,2.0,Kefallinia (LGKF)
2020,JAN,2020-01-01,Greece,5.0,5.0,Kos (LGKO)
2020,JAN,2020-01-01,Greece,,7.0,Corfu (LGKR)
2020,JAN,2020-01-01,Greece,4.0,4.0,Mikonos (LGMK)
2020,JAN,2020-01-01,Greece,7.0,6.0,Rodos (LGRP)
2020,JAN,2020-01-01,Greece,10.0,13.0,Khania - Souda (LGSA)
2020,JAN,2020-01-01,Greece,5.0,6.0,Santorini (LGSR)
2020,JAN,2020-01-01,Greece,39.0,39.0,Thessaloniki (LGTS)
2020,JAN,2020-01-01,Greece,1.0,,Zakinthos (LGZA)
2020,JAN,2020-01-01,Italy,17.0,20.0,Brindisi (LIBR)
2020,JAN,2020-01-01,Italy,78.0,79.0,Catania (LICC)
2020,JAN,2020-01-01,Italy,234.0,240.0,Milan - Malpensa (LIMC)
2020,JAN,2020-01-01,Italy,106.0,107.0,Bergamo (LIME)
2020,JAN,2020-01-01,Italy,39.0,44.0,Torino Caselle (LIMF)
2020,JAN,2020-01-01,Italy,124.0,120.0,Milan - Linate (LIML)
2020,JAN,2020-01-01,Italy,76.0,,Bologna (LIPE)
2020,JAN,2020-01-01,Italy,24.0,23.0,Treviso (LIPH)
2020,JAN,2020-01-01,Italy,90.0,96.0,Venice (LIPZ)
2020,JAN,2020-01-01,Italy,,45.0,Rome - Ciampino (LIRA)
2020,JAN,2020-01-01,Italy,354.0,336.0,Rome - Fiumicino (LIRF)
2020,JAN,2020-01-01,Italy,72.0,75.0,Naples (LIRN)
2020,JAN,2020-01-01,Italy,38.0,39.0,Pisa San Giusto (LIRP)
2020,JAN,2020-01-02,Germany,110.0,105.0,Berlin - Brandenburg (EDDB)
2020,JAN,2020-01-02,Germany,26.0,27.0,Dresden (EDDC)
2020,JAN,2020-01-02,Germany,8.0,7.0,Erfurt (EDDE)
2020,JAN,2020-01-02,Germany,576.0,554.0,Frankfurt (EDDF)
2020,JAN,2020-01-02,Germany,15.0,21.0,Muenster-Osnabrueck (EDDG)
2020,JAN,2020-01-02,Germany,163.0,163.0,Hamburg (EDDH)
2020,JAN,2020-01-02,Germany,157.0,144.0,Cologne-Bonn (EDDK)
2020,JAN,2020-01-02,Germany,240.0,239.0,Dusseldorf (EDDL)
2020,JAN,2020-01-02,Germany,478.0,455.0,Munich (EDDM)
