YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2019,FEB,2019-02-24,Spain,8,8,Almeria (LEAM)
2020,NOV,2020-11-20,Spain,12,12,Mahon (LEMH)
2019,OCT,2019-10-03,Malta,99,99,Malta (LMML)
2021,JUN,2021-06-04,Italy,25,27,Brindisi (LIBR)
2020,FEB,2020-02-28,Germany,264,266,Berlin - Tegel (EDDT)
2018,SEP,2018-09-28,United Kingdom,87,86,Aberdeen (EGPD)
2018,MAR,2018-03-23,Norway,3,2,Roros (ENRO)
2018,NOV,2018-11-11,Netherlands,18,20,Rotterdam (EHRD)
2017,SEP,2017-09-09,Spain,0,1,Sabadell (LELL)
2020,DEC,2020-12-06,Italy,9,10,Brindisi (LIBR)
2017,FEB,2017-02-13,Spain,75,76,Tenerife Sur - Reina Sofia (GCTS)
2019,DEC,2019-12-30,Germany,157,155,Hamburg (EDDH)
2020,OCT,2020-10-03,Spain,14,13,Zaragoza (LEZG)
2016,DEC,2016-12-11,Greece,2,2,Zakinthos (LGZA)
2016,FEB,2016-02-24,France,10,12,Chambéry-Aix-les-Bains (LFLB)
2016,DEC,2016-12-10,Italy,58,57,Catania (LICC)
2019,JUN,2019-06-09,Ireland,11,12,Connaught (EIKN)
2017,NOV,2017-11-25,Greece,8,8,Rodos (LGRP)
2018,APR,2018-04-03,United Kingdom,61,62,Southampton (EGHI)
2018,JAN,2018-01-16,Spain,2,0,Sabadell (LELL)
2021,AUG,2021-08-17,France,4,6,Grenoble-Isère (LFLS)
2020,MAR,2020-03-07,Albania,27,26,Tirana (LATI)
2017,MAY,2017-05-03,Poland,58,60,Gdansk (EPGD)
2016,JAN,2016-01-24,Belgium,23,18,Liège (EBLG)
2021,APR,2021-04-22,United Kingdom,178,183,London - Heathrow (EGLL)
2021,DEC,2021-12-11,France,7,6,Béziers-Vias (LFMU)
2018,AUG,2018-08-28,United Kingdom,30,29,Biggin Hill (EGKB)
2016,SEP,2016-09-07,Switzerland,262,257,Geneva (LSGG)
2021,APR,2021-04-12,Morocco,7,5,Rabat-Salé (GMME)
2016,JAN,2016-01-05,Norway,127,127,Bergen (ENBR)
2019,JUL,2019-07-19,France,7,7,Poitiers-Biard (LFBI)
2019,JUN,2019-06-20,France,17,15,Bergerac-Roumanière (LFBE)
2017,APR,2017-04-05,Spain,436,435,Barcelona (LEBL)
2020,JUN,2020-06-14,Malta,3,2,Malta (LMML)
2016,SEP,2016-09-13,United Kingdom,184,183,Birmingham (EGBB)
2021,MAR,2021-03-12,Ireland,14,13,Shannon (EINN)
2021,AUG,2021-08-06,Spain,11,10,Almeria (LEAM)
2021,OCT,2021-10-01,Romania,151,150,Bucharest - Otopeni (LROP)
2019,MAR,2019-03-08,France,2,2,Dôle-Tavaux (LFGJ)
2018,APR,2018-04-07,Spain,2,2,Leon (LELN)
2018,MAY,2018-05-28,Norway,3,3,Berlevåg (ENBV)
2020,JUN,2020-06-11,Germany,8,13,Erfurt (EDDE)
2016,APR,2016-04-23,France,23,24,Montpellier-Méditerranée (LFMT)
2021,AUG,2021-08-02,France,9,8,Chambéry-Aix-les-Bains (LFLB)
2016,DEC,2016-12-25,Sweden,22,22,Stockholm - Bromma (ESSB)
2020,MAR,2020-03-27,Norway,9,8,Florø (ENFL)
2018,MAR,2018-03-14,Spain,89,89,Tenerife North (GCXO)
2018,MAR,2018-03-04,Spain,7,7,Hierro (GCHI)
2019,MAR,2019-03-09,Norway,3,4,Leknes (ENLK)
2019,AUG,2019-08-19,Poland,104,101,Krakow - Balice (EPKK)
2019,MAR,2019-03-24,France,15,9,Bergerac-Roumanière (LFBE)
2022,APR,2022-04-23,Norway,2,2,Stokmarknes Skagen (ENSK)
2019,DEC,2019-12-18,France,1,3,Lannion (LFRO)
2018,OCT,2018-10-23,Norway,9,9,Leknes (ENLK)
2017,MAR,2017-03-18,Spain,2,2,La Gomera (GCGM)
2021,JAN,2021-01-28,Spain,2,2,La Gomera (GCGM)
2021,NOV,2021-11-27,Malta,51,48,Malta (LMML)
2016,APR,2016-04-07,Spain,2,2,Cordoba (LEBA)
2020,FEB,2020-02-01,Norway,1,1,Forde Bringeland (ENBL)
