YEAR,MONTH,DATE,STATE,DEP,ARR,APT_CODE
2019,,2019-02-24,Spain,,8.0,Almeria (LEAM)
2020,NOV,2020-11-20,Spain,12.0,12.0,Mahon (LEMH)
2019,OCT,,Malta,99.0,99.0,Malta (LMML)
2021,,2021-06-04,Italy,25.0,27.0,Brindisi (LIBR)
2020,FEB,2020-02-28,Germany,264.0,266.0,Berlin - Tegel (EDDT)
2018,SEP,2018-09-28,United Kingdom,87.0,86.0,Aberdeen (EGPD)
2018,MAR,2018-03-23,Norway,3.0,2.0,Roros (ENRO)
2018,NOV,2018-11-11,Netherlands,18.0,20.0,Rotterdam (EHRD)
2017,SEP,2017-09-09,Spain,0.0,1.0,Sabadell (LELL)
2020,DEC,2020-12-06,Italy,9.0,10.0,Brindisi (LIBR)
2017,,2017-02-13,Spain,75.0,76.0,Tenerife Sur - Reina Sofia (GCTS)
2019,DEC,2019-12-30,Germany,,155.0,Hamburg (EDDH)
2020,,2020-10-03,Spain,14.0,13.0,Zaragoza (LEZG)
2016,,2016-12-11,Greece,2.0,2.0,Zakinthos (LGZA)
2016,FEB,2016-02-24,France,,12.0,Chambéry-Aix-les-Bains (LFLB)
2016,,2016-12-10,Italy,58.0,,Catania (LICC)
2019,JUN,2019-06-09,Ireland,11.0,12.0,Connaught (EIKN)
2017,NOV,2017-11-25,Greece,8.0,8.0,Rodos (LGRP)
2018,APR,2018-04-03,United Kingdom,61.0,,Southampton (EGHI)
2018,JAN,2018-01-16,Spain,,0.0,Sabadell (LELL)
2021,AUG,2021-08-17,France,4.0,6.0,Grenoble-Isère (LFLS)
2020,MAR,2020-03-07,Albania,27.0,26.0,Tirana (LATI)
2017,MAY,2017-05-03,Poland,58.0,60.0,Gdansk (EPGD)
2016,JAN,2016-01-24,Belgium,23.0,18.0,Liège (EBLG)
2021,,2021-04-22,United Kingdom,178.0,183.0,London - Heathrow (EGLL)
2021,DEC,2021-12-11,France,7.0,,Béziers-Vias (LFMU)
2018,AUG,2018-08-28,United Kingdom,30.0,29.0,Biggin Hill (EGKB)
2016,SEP,2016-09-07,Switzerland,262.0,257.0,Geneva (LSGG)
2021,APR,2021-04-12,Morocco,,,Rabat-Salé (GMME)
2016,,2016-01-05,Norway,127.0,127.0,Bergen (ENBR)
2019,JUL,2019-07-19,France,7.0,7.0,Poitiers-Biard (LFBI)
2019,JUN,2019-06-20,France,17.0,15.0,Bergerac-Roumanière (LFBE)
2017,APR,2017-04-05,Spain,436.0,435.0,Barcelona (LEBL)
2020,JUN,2020-06-14,Malta,3.0,2.0,Malta (LMML)
2016,SEP,2016-09-13,United Kingdom,184.0,183.0,Birmingham (EGBB)
2021,MAR,2021-03-12,Ireland,14.0,13.0,Shannon (EINN)
2021,AUG,2021-08-06,Spain,11.0,10.0,Almeria (LEAM)
2021,,2021-10-01,Romania,151.0,150.0,Bucharest - Otopeni (LROP)
2019,MAR,2019-03-08,France,2.0,2.0,Dôle-Tavaux (LFGJ)
2018,APR,2018-04-07,Spain,2.0,,Leon (LELN)
2018,MAY,2018-05-28,Norway,3.0,3.0,Berlevåg (ENBV)
2020,JUN,2020-06-11,Germany,,13.0,Erfurt (EDDE)
2016,APR,2016-04-23,France,23.0,,Montpellier-Méditerranée (LFMT)
2021,AUG,2021-08-02,France,9.0,8.0,Chambéry-Aix-les-Bains (LFLB)
2016,DEC,2016-12-25,Sweden,22.0,22.0,Stockholm - Bromma (ESSB)
2020,MAR,2020-03-27,Norway,,8.0,Florø (ENFL)
2018,MAR,2018-03-14,Spain,89.0,,Tenerife North (GCXO)
2018,MAR,2018-03-04,Spain,7.0,7.0,Hierro (GCHI)
2019,,2019-03-09,Norway,3.0,4.0,Leknes (ENLK)
2019,AUG,2019-08-19,Poland,104.0,101.0,Krakow - Balice (EPKK)
2019,MAR,2019-03-24,France,15.0,9.0,Bergerac-Roumanière (LFBE)
2022,APR,2022-04-23,Norway,2.0,2.0,Stokmarknes Skagen (ENSK)
2019,DEC,,France,1.0,3.0,Lannion (LFRO)
2018,,2018-10-23,Norway,9.0,9.0,Leknes (ENLK)
2017,MAR,2017-03-18,Spain,2.0,2.0,La Gomera (GCGM)
2021,,2021-01-28,Spain,2.0,2.0,La Gomera (GCGM)
2021,,2021-11-27,Malta,,48.0,Malta (LMML)
2016,,2016-04-07,Spain,2.0,2.0,Cordoba (LEBA)
2020,FEB,2020-02-01,Norway,1.0,1.0,Forde Bringeland (ENBL)
2018,AUG,2018-08-03,France,4.0,2.0,Saint-Nazaire-Montoir (LFRZ)
2021,FEB,,France,2.0,4.0,Annemasse (LFLI)
2019,SEP,2019-09-09,Greece,14.0,14.0,Kefallinia (LGKF)
2020,SEP,2020-09-28,United Kingdom,124.0,124.0,Manchester (EGCC)
