sex,race,age,n_persons,median_weekly_earn
Men,White,16-24,4279000,645
Women,White,16-24,3225000,599
Men,White,25-54,32927000,1147
Women,White,25-54,25749000,939
Men,White,>=55,11067000,1223
Women,White,>=55,8510000,993
Men,Black,16-24,677000,584
Women,Black,16-24,624000,559
Men,Black,25-54,4891000,817
Women,Black,25-54,5399000,802
Men,Black,>=55,1217000,1042
Women,Black,>=55,1490000,853
Men,Asian,16-24,181000,647
Women,Asian,16-24,187000,833
Men,Asian,25-54,3276000,1489
Women,Asian,25-54,2449000,1165
Men,Asian,>=55,752000,1709
Women,Asian,>=55,648000,958
